tellimuse_nr,kuupaev,kliendi_id,kliendi_nimi,kliendi_linn,kliendityyp,toote_nimi,kategooria,tootemark,kampaania_nimi,kampaania_tyyp,liiklusallikas,makseviis,kogus,uhikuhind,muugisumma
1143,2025-09-06,12,Lauri Ots,Narva,Regular,Kringel mooni,Maiustus,Leibur,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,3,2.8,8.4
1143,2025-09-06,12,Lauri Ots,Narva,Regular,Pirn,Puuvili,FreshFarm,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,3,1.8,5.4
1143,2025-09-06,12,Lauri Ots,Narva,Regular,Banaan,Puuvili,TropicBest,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,1,1.5,1.5
1218,2025-09-06,13,Mari Sepp,Tallinn,VIP,Sepik,Pagaritoode,Leibur,Avanadala pakkumine,retargeting,google_ads,Pangalink,8,2.5,20.0
1221,2025-09-06,17,Riina Laas,Viljandi,VIP,Kohupiim,Piimatoode,Farmi,Avanadala pakkumine,retargeting,google_ads,Pangalink,2,1.3,2.6
1221,2025-09-06,17,Riina Laas,Viljandi,VIP,Banaan,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Pangalink,4,1.5,6.0
1300,2025-09-06,14,Nikolai Rand,Parnu,Regular,Jogurt maasika,Piimatoode,Alma,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,7,0.9,6.3
1300,2025-09-06,14,Nikolai Rand,Parnu,Regular,Apelsinimahl 1L,Jook,Aura,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,7,2.2,15.4
1308,2025-09-06,3,Carla Tamm,Parnu,Regular,Croissant,Pagaritoode,LaLorraine,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,4,1.2,4.8
1308,2025-09-06,3,Carla Tamm,Parnu,Regular,Banaan,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,5,1.5,7.5
1308,2025-09-06,3,Carla Tamm,Parnu,Regular,Sai rukkine,Pagaritoode,Leibur,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,1.4,4.2
1338,2025-09-06,9,Irina Kivi,Viljandi,Regular,Apelsin,Puuvili,TropicBest,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,1,2.0,2.0
1338,2025-09-06,9,Irina Kivi,Viljandi,Regular,Kohupiim,Piimatoode,Farmi,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,1,1.3,1.3
1370,2025-09-06,20,Urmas Tamme,Tallinn,Regular,Kohupiim,Piimatoode,Farmi,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,3,1.3,3.9
1370,2025-09-06,20,Urmas Tamme,Tallinn,Regular,Kringel mooni,Maiustus,Leibur,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,6,2.8,16.8
1370,2025-09-06,20,Urmas Tamme,Tallinn,Regular,Apelsin,Puuvili,TropicBest,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,2,2.0,4.0
1370,2025-09-06,20,Urmas Tamme,Tallinn,Regular,Kohv filtri 500g,Jook,Paulig,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,4,5.9,23.6
1374,2025-09-06,15,Olga Valk,Tartu,Regular,Õun,Puuvili,FreshFarm,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,6,1.2,7.2
1399,2025-09-06,16,Peeter Kuusk,Tallinn,Regular,Sai rukkine,Pagaritoode,Leibur,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,2,1.4,2.8
1486,2025-09-06,19,Tiina Hein,Narva,Regular,Kohv filtri 500g,Jook,Paulig,Avanadala pakkumine,retargeting,google_ads,Pangalink,8,5.9,47.2
1486,2025-09-06,19,Tiina Hein,Narva,Regular,Saiake kaneeli,Pagaritoode,LaLorraine,Avanadala pakkumine,retargeting,google_ads,Pangalink,4,1.0,4.0
1486,2025-09-06,19,Tiina Hein,Narva,Regular,Banaan,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Pangalink,2,1.5,3.0
1486,2025-09-06,19,Tiina Hein,Narva,Regular,Kohupiim,Piimatoode,Farmi,Avanadala pakkumine,retargeting,google_ads,Pangalink,5,1.3,6.5
1497,2025-09-06,8,Henri Puu,Parnu,Regular,Juust Gouda,Piimatoode,Valio,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,3,4.5,13.5
1497,2025-09-06,8,Henri Puu,Parnu,Regular,Sokolaad tume,Maiustus,Kalev,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,6,2.3,13.8
1497,2025-09-06,8,Henri Puu,Parnu,Regular,Sai rukkine,Pagaritoode,Leibur,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,8,1.4,11.2
1011,2025-09-07,16,Peeter Kuusk,Tallinn,Regular,Piim 2.5%,Piimatoode,Alma,Partneri sooduskood,partnerkampaania,otsing,Pangalink,3,1.1,3.3
1011,2025-09-07,16,Peeter Kuusk,Tallinn,Regular,Sai rukkine,Pagaritoode,Leibur,Partneri sooduskood,partnerkampaania,otsing,Pangalink,4,1.4,5.6
1020,2025-09-07,18,Siim Paju,Tartu,Regular,Saiake kaneeli,Pagaritoode,LaLorraine,Google Ads brandikampaania,retargeting,facebook,Pangalink,8,1.0,8.0
1020,2025-09-07,18,Siim Paju,Tartu,Regular,Apelsinimahl 1L,Jook,Aura,Google Ads brandikampaania,retargeting,facebook,Pangalink,2,2.2,4.4
1038,2025-09-07,9,Irina Kivi,Viljandi,Regular,Banaan,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,1,1.5,1.5
1038,2025-09-07,9,Irina Kivi,Viljandi,Regular,Pirn,Puuvili,FreshFarm,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,1,1.8,1.8
1038,2025-09-07,9,Irina Kivi,Viljandi,Regular,Mineraalvesi 1L,Jook,Vichy,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,6,0.8,4.8
1038,2025-09-07,9,Irina Kivi,Viljandi,Regular,Sai rukkine,Pagaritoode,Leibur,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,1.4,4.2
1095,2025-09-07,17,Riina Laas,Viljandi,VIP,Apelsinimahl 1L,Jook,Aura,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,4,2.2,8.8
1095,2025-09-07,17,Riina Laas,Viljandi,VIP,Banaan,Puuvili,TropicBest,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,5,1.5,7.5
1117,2025-09-07,5,Eva Lepik,Narva,Regular,Sokolaad tume,Maiustus,Kalev,Avanadala pakkumine,retargeting,google_ads,Pangalink,3,2.3,6.9
1117,2025-09-07,5,Eva Lepik,Narva,Regular,Sai rukkine,Pagaritoode,Leibur,Avanadala pakkumine,retargeting,google_ads,Pangalink,5,1.4,7.0
1145,2025-09-07,17,Riina Laas,Viljandi,VIP,Kringel mooni,Maiustus,Leibur,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,8,2.8,22.4
1212,2025-09-07,19,Tiina Hein,Narva,Regular,Martsipan 100g,Maiustus,Kalev,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,8,3.2,25.6
1234,2025-09-07,4,Daniel Kask,Tallinn,VIP,Sai rukkine,Pagaritoode,Leibur,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,1,1.4,1.4
1234,2025-09-07,4,Daniel Kask,Tallinn,VIP,Juust Gouda,Piimatoode,Valio,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,6,4.5,27.0
1274,2025-09-07,19,Tiina Hein,Narva,Regular,Coca-Cola 0.5L,Jook,CocaCola,Google Ads brandikampaania,retargeting,facebook,Pangalink,3,1.5,4.5
1274,2025-09-07,19,Tiina Hein,Narva,Regular,Pirn,Puuvili,FreshFarm,Google Ads brandikampaania,retargeting,facebook,Pangalink,4,1.8,7.2
1274,2025-09-07,19,Tiina Hein,Narva,Regular,Croissant,Pagaritoode,LaLorraine,Google Ads brandikampaania,retargeting,facebook,Pangalink,7,1.2,8.4
1302,2025-09-07,15,Olga Valk,Tartu,Regular,Sokolaad tume,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,7,2.3,16.1
1302,2025-09-07,15,Olga Valk,Tartu,Regular,Sepik,Pagaritoode,Leibur,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,2,2.5,5.0
1302,2025-09-07,15,Olga Valk,Tartu,Regular,Coca-Cola 0.5L,Jook,CocaCola,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,6,1.5,9.0
1307,2025-09-07,13,Mari Sepp,Tallinn,VIP,Kohv filtri 500g,Jook,Paulig,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,8,5.9,47.2
1307,2025-09-07,13,Mari Sepp,Tallinn,VIP,Mineraalvesi 1L,Jook,Vichy,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,8,0.8,6.4
1359,2025-09-07,17,Riina Laas,Viljandi,VIP,Õun,Puuvili,FreshFarm,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,8,1.2,9.6
1359,2025-09-07,17,Riina Laas,Viljandi,VIP,Coca-Cola 0.5L,Jook,CocaCola,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,8,1.5,12.0
1359,2025-09-07,17,Riina Laas,Viljandi,VIP,Saiake kaneeli,Pagaritoode,LaLorraine,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,6,1.0,6.0
1380,2025-09-07,4,Daniel Kask,Tallinn,VIP,Pirn,Puuvili,FreshFarm,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,2,1.8,3.6
1380,2025-09-07,4,Daniel Kask,Tallinn,VIP,Kohv filtri 500g,Jook,Paulig,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,5,5.9,29.5
1425,2025-09-07,20,Urmas Tamme,Tallinn,Regular,Jogurt maasika,Piimatoode,Alma,Google Ads brandikampaania,retargeting,facebook,Pangalink,5,0.9,4.5
1425,2025-09-07,20,Urmas Tamme,Tallinn,Regular,Saiake kaneeli,Pagaritoode,LaLorraine,Google Ads brandikampaania,retargeting,facebook,Pangalink,3,1.0,3.0
1425,2025-09-07,20,Urmas Tamme,Tallinn,Regular,Mineraalvesi 1L,Jook,Vichy,Google Ads brandikampaania,retargeting,facebook,Pangalink,1,0.8,0.8
1453,2025-09-07,18,Siim Paju,Tartu,Regular,Martsipan 100g,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,4,3.2,12.8
1453,2025-09-07,18,Siim Paju,Tartu,Regular,Kommid assortii,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,7,3.5,24.5
1003,2025-09-08,17,Riina Laas,Viljandi,VIP,Kommid assortii,Maiustus,Kalev,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,7,3.5,24.5
1004,2025-09-08,15,Olga Valk,Tartu,Regular,Juust Gouda,Piimatoode,Valio,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,5,4.5,22.5
1004,2025-09-08,15,Olga Valk,Tartu,Regular,Mineraalvesi 1L,Jook,Vichy,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,0.8,2.4
1004,2025-09-08,15,Olga Valk,Tartu,Regular,Sepik,Pagaritoode,Leibur,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,4,2.5,10.0
1021,2025-09-08,8,Henri Puu,Parnu,Regular,Kohupiim,Piimatoode,Farmi,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,4,1.3,5.2
1021,2025-09-08,8,Henri Puu,Parnu,Regular,Kringel mooni,Maiustus,Leibur,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,1,2.8,2.8
1024,2025-09-08,16,Peeter Kuusk,Tallinn,Regular,Mineraalvesi 1L,Jook,Vichy,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,6,0.8,4.8
1052,2025-09-08,7,Greta Mets,Tallinn,VIP,Kohv filtri 500g,Jook,Paulig,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,2,5.9,11.8
1066,2025-09-08,3,Carla Tamm,Parnu,Regular,Jogurt maasika,Piimatoode,Alma,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,3,0.9,2.7
1066,2025-09-08,3,Carla Tamm,Parnu,Regular,Õun,Puuvili,FreshFarm,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,8,1.2,9.6
1066,2025-09-08,3,Carla Tamm,Parnu,Regular,Piim 2.5%,Piimatoode,Alma,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,2,1.1,2.2
1066,2025-09-08,3,Carla Tamm,Parnu,Regular,Kohupiim,Piimatoode,Farmi,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,4,1.3,5.2
1087,2025-09-08,10,Jaan Rebane,Tallinn,VIP,Kohupiim,Piimatoode,Farmi,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,4,1.3,5.2
1087,2025-09-08,10,Jaan Rebane,Tallinn,VIP,Sai rukkine,Pagaritoode,Leibur,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,7,1.4,9.8
1126,2025-09-08,5,Eva Lepik,Narva,Regular,Kommid assortii,Maiustus,Kalev,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,4,3.5,14.0
1126,2025-09-08,5,Eva Lepik,Narva,Regular,Jogurt maasika,Piimatoode,Alma,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,6,0.9,5.4
1126,2025-09-08,5,Eva Lepik,Narva,Regular,Kringel mooni,Maiustus,Leibur,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,2.8,8.4
1165,2025-09-08,5,Eva Lepik,Narva,Regular,Apelsin,Puuvili,TropicBest,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,1,2.0,2.0
1165,2025-09-08,5,Eva Lepik,Narva,Regular,Sokolaad tume,Maiustus,Kalev,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,6,2.3,13.8
1165,2025-09-08,5,Eva Lepik,Narva,Regular,Kommid assortii,Maiustus,Kalev,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,3,3.5,10.5
1181,2025-09-08,4,Daniel Kask,Tallinn,VIP,Banaan,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Pangalink,6,1.5,9.0
1191,2025-09-08,12,Lauri Ots,Narva,Regular,Martsipan 100g,Maiustus,Kalev,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,8,3.2,25.6
1191,2025-09-08,12,Lauri Ots,Narva,Regular,Piim 2.5%,Piimatoode,Alma,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,6,1.1,6.6
1229,2025-09-08,2,Bob Jones,Tartu,VIP,Apelsin,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,7,2.0,14.0
1249,2025-09-08,15,Olga Valk,Tartu,Regular,Apelsin,Puuvili,TropicBest,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,1,2.0,2.0
1256,2025-09-08,9,Irina Kivi,Viljandi,Regular,Apelsinimahl 1L,Jook,Aura,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,6,2.2,13.2
1272,2025-09-08,7,Greta Mets,Tallinn,VIP,Pirn,Puuvili,FreshFarm,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,5,1.8,9.0
1276,2025-09-08,3,Carla Tamm,Parnu,Regular,Martsipan 100g,Maiustus,Kalev,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,6,3.2,19.2
1276,2025-09-08,3,Carla Tamm,Parnu,Regular,Coca-Cola 0.5L,Jook,CocaCola,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,1,1.5,1.5
1314,2025-09-08,5,Eva Lepik,Narva,Regular,Coca-Cola 0.5L,Jook,CocaCola,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,5,1.5,7.5
1314,2025-09-08,5,Eva Lepik,Narva,Regular,Kohv filtri 500g,Jook,Paulig,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,7,5.9,41.3
1314,2025-09-08,5,Eva Lepik,Narva,Regular,Piim 2.5%,Piimatoode,Alma,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,7,1.1,7.7
1340,2025-09-08,11,Katrin Ilves,Tartu,Regular,Sai rukkine,Pagaritoode,Leibur,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,2,1.4,2.8
1340,2025-09-08,11,Katrin Ilves,Tartu,Regular,Pirn,Puuvili,FreshFarm,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,1,1.8,1.8
1340,2025-09-08,11,Katrin Ilves,Tartu,Regular,Saiake kaneeli,Pagaritoode,LaLorraine,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,3,1.0,3.0
1341,2025-09-08,17,Riina Laas,Viljandi,VIP,Apelsinimahl 1L,Jook,Aura,Facebook retargeting,hooajakampaania,partnerlink,Mobiilimakse,5,2.2,11.0
1350,2025-09-08,3,Carla Tamm,Parnu,Regular,Apelsin,Puuvili,TropicBest,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,3,2.0,6.0
1350,2025-09-08,3,Carla Tamm,Parnu,Regular,Piim 2.5%,Piimatoode,Alma,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,8,1.1,8.8
1350,2025-09-08,3,Carla Tamm,Parnu,Regular,Martsipan 100g,Maiustus,Kalev,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,8,3.2,25.6
1363,2025-09-08,19,Tiina Hein,Narva,Regular,Kringel mooni,Maiustus,Leibur,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,6,2.8,16.8
1363,2025-09-08,19,Tiina Hein,Narva,Regular,Õun,Puuvili,FreshFarm,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,3,1.2,3.6
1397,2025-09-08,2,Bob Jones,Tartu,VIP,Jogurt maasika,Piimatoode,Alma,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,6,0.9,5.4
1397,2025-09-08,2,Bob Jones,Tartu,VIP,Sai rukkine,Pagaritoode,Leibur,Partneri sooduskood,partnerkampaania,otsing,Kaardimakse,8,1.4,11.2
1402,2025-09-08,9,Irina Kivi,Viljandi,Regular,Sai rukkine,Pagaritoode,Leibur,Avanadala pakkumine,retargeting,google_ads,Pangalink,7,1.4,9.8
1420,2025-09-08,8,Henri Puu,Parnu,Regular,Sokolaad tume,Maiustus,Kalev,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,3,2.3,6.9
1454,2025-09-08,17,Riina Laas,Viljandi,VIP,Coca-Cola 0.5L,Jook,CocaCola,Uudiskirja soodustus,uudiskiri,uudiskiri,Pangalink,7,1.5,10.5
1474,2025-09-08,20,Urmas Tamme,Tallinn,Regular,Kringel mooni,Maiustus,Leibur,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,1,2.8,2.8
1494,2025-09-08,2,Bob Jones,Tartu,VIP,Sokolaad tume,Maiustus,Kalev,Google Ads brandikampaania,retargeting,facebook,Kaardimakse,1,2.3,2.3
1045,2025-09-09,3,Carla Tamm,Parnu,Regular,Kommid assortii,Maiustus,Kalev,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,1,3.5,3.5
1045,2025-09-09,3,Carla Tamm,Parnu,Regular,Sepik,Pagaritoode,Leibur,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,2,2.5,5.0
1079,2025-09-09,19,Tiina Hein,Narva,Regular,Jogurt maasika,Piimatoode,Alma,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,0.9,2.7
1079,2025-09-09,19,Tiina Hein,Narva,Regular,Croissant,Pagaritoode,LaLorraine,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,5,1.2,6.0
1079,2025-09-09,19,Tiina Hein,Narva,Regular,Kohupiim,Piimatoode,Farmi,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,1,1.3,1.3
1079,2025-09-09,19,Tiina Hein,Narva,Regular,Saiake kaneeli,Pagaritoode,LaLorraine,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,1.0,3.0
1080,2025-09-09,2,Bob Jones,Tartu,VIP,Piim 2.5%,Piimatoode,Alma,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,2,1.1,2.2
1080,2025-09-09,2,Bob Jones,Tartu,VIP,Kohv filtri 500g,Jook,Paulig,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,1,5.9,5.9
1100,2025-09-09,14,Nikolai Rand,Parnu,Regular,Õun,Puuvili,FreshFarm,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,5,1.2,6.0
1100,2025-09-09,14,Nikolai Rand,Parnu,Regular,Croissant,Pagaritoode,LaLorraine,Uudiskirja soodustus,uudiskiri,uudiskiri,Mobiilimakse,8,1.2,9.6
1120,2025-09-09,18,Siim Paju,Tartu,Regular,Sai rukkine,Pagaritoode,Leibur,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,7,1.4,9.8
1120,2025-09-09,18,Siim Paju,Tartu,Regular,Kringel mooni,Maiustus,Leibur,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,6,2.8,16.8
1141,2025-09-09,10,Jaan Rebane,Tallinn,VIP,Piim 2.5%,Piimatoode,Alma,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,7,1.1,7.7
1263,2025-09-09,18,Siim Paju,Tartu,Regular,Piim 2.5%,Piimatoode,Alma,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,6,1.1,6.6
1263,2025-09-09,18,Siim Paju,Tartu,Regular,Jogurt maasika,Piimatoode,Alma,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,4,0.9,3.6
1284,2025-09-09,14,Nikolai Rand,Parnu,Regular,Sai rukkine,Pagaritoode,Leibur,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,4,1.4,5.6
1289,2025-09-09,13,Mari Sepp,Tallinn,VIP,Kringel mooni,Maiustus,Leibur,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,3,2.8,8.4
1289,2025-09-09,13,Mari Sepp,Tallinn,VIP,Kommid assortii,Maiustus,Kalev,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,1,3.5,3.5
1372,2025-09-09,4,Daniel Kask,Tallinn,VIP,Mineraalvesi 1L,Jook,Vichy,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,7,0.8,5.6
1372,2025-09-09,4,Daniel Kask,Tallinn,VIP,Juust Gouda,Piimatoode,Valio,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,8,4.5,36.0
1375,2025-09-09,4,Daniel Kask,Tallinn,VIP,Juust Gouda,Piimatoode,Valio,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,2,4.5,9.0
1375,2025-09-09,4,Daniel Kask,Tallinn,VIP,Pirn,Puuvili,FreshFarm,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,6,1.8,10.8
1375,2025-09-09,4,Daniel Kask,Tallinn,VIP,Kommid assortii,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,8,3.5,28.0
1383,2025-09-09,8,Henri Puu,Parnu,Regular,Apelsin,Puuvili,TropicBest,Uudiskirja soodustus,uudiskiri,uudiskiri,Kaardimakse,2,2.0,4.0
1438,2025-09-09,2,Bob Jones,Tartu,VIP,Coca-Cola 0.5L,Jook,CocaCola,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,2,1.5,3.0
1438,2025-09-09,2,Bob Jones,Tartu,VIP,Kohupiim,Piimatoode,Farmi,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,8,1.3,10.4
1480,2025-09-09,12,Lauri Ots,Narva,Regular,Kohv filtri 500g,Jook,Paulig,Google Ads brandikampaania,retargeting,facebook,Pangalink,8,5.9,47.2
1030,2025-09-10,7,Greta Mets,Tallinn,VIP,Sepik,Pagaritoode,Leibur,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,1,2.5,2.5
1030,2025-09-10,7,Greta Mets,Tallinn,VIP,Banaan,Puuvili,TropicBest,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,8,1.5,12.0
1085,2025-09-10,19,Tiina Hein,Narva,Regular,Apelsin,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,2,2.0,4.0
1085,2025-09-10,19,Tiina Hein,Narva,Regular,Jogurt maasika,Piimatoode,Alma,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,0.9,2.7
1085,2025-09-10,19,Tiina Hein,Narva,Regular,Kringel mooni,Maiustus,Leibur,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,4,2.8,11.2
1085,2025-09-10,19,Tiina Hein,Narva,Regular,Sai rukkine,Pagaritoode,Leibur,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,3,1.4,4.2
1097,2025-09-10,18,Siim Paju,Tartu,Regular,Apelsin,Puuvili,TropicBest,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,8,2.0,16.0
1161,2025-09-10,9,Irina Kivi,Viljandi,Regular,Kringel mooni,Maiustus,Leibur,Avanadala pakkumine,retargeting,google_ads,Pangalink,3,2.8,8.4
1176,2025-09-10,4,Daniel Kask,Tallinn,VIP,Martsipan 100g,Maiustus,Kalev,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,2,3.2,6.4
1176,2025-09-10,4,Daniel Kask,Tallinn,VIP,Apelsinimahl 1L,Jook,Aura,Facebook retargeting,hooajakampaania,partnerlink,Kaardimakse,2,2.2,4.4
1188,2025-09-10,15,Olga Valk,Tartu,Regular,Apelsinimahl 1L,Jook,Aura,Avanadala pakkumine,retargeting,google_ads,Pangalink,6,2.2,13.2
1213,2025-09-10,18,Siim Paju,Tartu,Regular,Sai rukkine,Pagaritoode,Leibur,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,7,1.4,9.8
1213,2025-09-10,18,Siim Paju,Tartu,Regular,Saiake kaneeli,Pagaritoode,LaLorraine,Facebook retargeting,hooajakampaania,partnerlink,Pangalink,6,1.0,6.0
1226,2025-09-10,10,Jaan Rebane,Tallinn,VIP,Kohv filtri 500g,Jook,Paulig,Google Ads brandikampaania,retargeting,facebook,Pangalink,5,5.9,29.5
1226,2025-09-10,10,Jaan Rebane,Tallinn,VIP,Saiake kaneeli,Pagaritoode,LaLorraine,Google Ads brandikampaania,retargeting,facebook,Pangalink,5,1.0,5.0
1238,2025-09-10,19,Tiina Hein,Narva,Regular,Kohupiim,Piimatoode,Farmi,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,2,1.3,2.6
1238,2025-09-10,19,Tiina Hein,Narva,Regular,Banaan,Puuvili,TropicBest,Avanadala pakkumine,retargeting,google_ads,Kaardimakse,8,1.5,12.0
1239,2025-09-10,6,Franz Saar,Tartu,Regular,Croissant,Pagaritoode,LaLorraine,Partneri sooduskood,partnerkampaania,otsing,Pangalink,4,1.2,4.8
1239,2025-09-10,6,Franz Saar,Tartu,Regular,Apelsin,Puuvili,TropicBest,Partneri sooduskood,partnerkampaania,otsing,Pangalink,4,2.0,8.0
1239,2025-09-10,6,Franz Saar,Tartu,Regular,Martsipan 100g,Maiustus,Kalev,Partneri sooduskood,partnerkampaania,otsing,Pangalink,3,3.2,9.6
1239,2025-09-10,6,Franz Saar,Tartu,Regular,Saiake kaneeli,Pagaritoode,LaLorraine,Partneri sooduskood,partnerkampaania,otsing,Pangalink,8,1.0,8.0
